scenario,seed,turn,side,profile,doctrine,n_options,top_direct,top_influence,top_hybrid,hybrid_changes_top,influence_changes_top,direct_degenerate,rank_corr_direct_hybrid,max_influence_composite,max_expected_hits
IBS-S-01,1,2,allies,adaptive,crossfire,1320,IBS-U-USN-MCCALLA:TT1:4:starboard:Y:2:IBS-U-IJN-KINUGASA:2,IBS-U-USN-MCCALLA:TT2:4:starboard:Y:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-MCCALLA:TT2:4:starboard:Y:2:IBS-U-IJN-KINUGASA:1,True,True,False,0.7915618899313793,0.7523809523809524,0.19444444444444445
IBS-S-01,1,3,allies,adaptive,crossfire,522,IBS-U-USN-MCCALLA:TT1:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-MCCALLA:TT1:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-MCCALLA:TT1:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,False,False,False,0.9275971281726275,0.7142857142857143,0.2777777777777778
IBS-S-01,1,4,axis,adaptive,cover_withdrawal,1182,IBS-U-IJN-KINUGASA:TT-P:5:port:X:0:IBS-U-USN-SAN-FRANCISCO:2,IBS-U-IJN-KINUGASA:TT-P:5:port:X:0:IBS-U-USN-SAN-FRANCISCO:2,IBS-U-IJN-KINUGASA:TT-P:5:port:X:0:IBS-U-USN-SAN-FRANCISCO:2,False,False,False,0.9466247736633226,0.7808035714285715,1.9166666666666667
IBS-S-01,1,4,allies,adaptive,break_crossing_t,22,IBS-U-USN-BUCHANAN:TT2:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:0:starboard:Y:2:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,1,5,axis,adaptive,cover_withdrawal,718,IBS-U-IJN-KINUGASA:TT-P:3:port:Y:0:IBS-U-USN-SAN-FRANCISCO:1,IBS-U-IJN-KINUGASA:TT-S:1:starboard:B:2:IBS-U-USN-BOISE:2,IBS-U-IJN-KINUGASA:TT-P:3:port:Y:0:IBS-U-USN-SAN-FRANCISCO:1,False,True,False,0.9166902668446226,0.8571428571428571,0.5833333333333334
IBS-S-01,1,5,allies,adaptive,break_crossing_t,52,IBS-U-USN-BUCHANAN:TT2:2:starboard:X:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:2:starboard:X:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:2:starboard:X:2:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,1,6,axis,adaptive,cover_withdrawal,51,IBS-U-IJN-KINUGASA:TT-P:3:port:Y:0:IBS-U-USN-SALT-LAKE-CITY:1,IBS-U-IJN-KINUGASA:TT-S:3:starboard:Y:2:IBS-U-USN-BOISE:1,IBS-U-IJN-KINUGASA:TT-P:3:port:Y:0:IBS-U-USN-SALT-LAKE-CITY:1,False,True,False,1.0,0.0,0.16666666666666666
IBS-S-01,1,6,allies,adaptive,break_crossing_t,92,IBS-U-USN-BUCHANAN:TT2:4:starboard:Y:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:4:starboard:Y:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:4:starboard:Y:0:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,1,7,axis,adaptive,cover_withdrawal,48,IBS-U-IJN-KINUGASA:TT-S:4:starboard:B:0:IBS-U-USN-SALT-LAKE-CITY:1,IBS-U-IJN-KINUGASA:TT-S:4:starboard:B:0:IBS-U-USN-SALT-LAKE-CITY:1,IBS-U-IJN-KINUGASA:TT-S:4:starboard:B:0:IBS-U-USN-SALT-LAKE-CITY:1,False,False,True,0.8733174120712115,0.7142857142857143,0.0
IBS-S-01,1,7,allies,adaptive,break_crossing_t,63,IBS-U-USN-BUCHANAN:TT2:5:starboard:B:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:5:starboard:B:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT2:5:starboard:B:2:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,2,2,allies,adaptive,crossfire,1176,IBS-U-USN-MCCALLA:TT1:5:starboard:X:2:IBS-U-IJN-KINUGASA:2,IBS-U-USN-MCCALLA:TT2:5:starboard:X:2:IBS-U-IJN-KINUGASA:1,IBS-U-USN-MCCALLA:TT2:5:starboard:X:2:IBS-U-IJN-KINUGASA:1,True,True,False,0.951993532133293,0.9761904761904762,0.5833333333333334
IBS-S-01,2,3,allies,adaptive,crossfire,273,IBS-U-USN-BUCHANAN:TT1:3:starboard:Y:1:IBS-U-IJN-KINUGASA:2,IBS-U-USN-LAFFEY:TT1:3:starboard:Y:1:IBS-U-IJN-KINUGASA:1,IBS-U-USN-LAFFEY:TT1:3:starboard:Y:1:IBS-U-IJN-KINUGASA:1,True,True,False,0.8725848003434951,0.7142857142857143,0.08333333333333333
IBS-S-01,2,4,axis,adaptive,cover_withdrawal,1108,IBS-U-IJN-HATSUYUKI:TT2:4:starboard:Y:2:IBS-U-USN-SALT-LAKE-CITY:2,IBS-U-IJN-KINUGASA:TT-S:6:starboard:X:1:IBS-U-USN-SALT-LAKE-CITY:2,IBS-U-IJN-HATSUYUKI:TT2:4:starboard:Y:2:IBS-U-USN-SALT-LAKE-CITY:2,False,True,False,0.9998088822756369,0.5714285714285714,0.19444444444444445
IBS-S-01,2,4,allies,adaptive,cover_withdrawal,35,IBS-U-USN-BUCHANAN:TT1:5:starboard:Y:1:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:5:starboard:Y:1:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:5:starboard:Y:1:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,2,5,axis,adaptive,cover_withdrawal,1094,IBS-U-IJN-KINUGASA:TT-P:3:port:B:2:IBS-U-USN-BOISE:2,IBS-U-IJN-KINUGASA:TT-S:2:starboard:B:0:IBS-U-USN-LAFFEY:2,IBS-U-IJN-HATSUYUKI:TT2:5:starboard:Y:2:IBS-U-USN-MCCALLA:2,True,True,False,0.9524648912328937,0.8571428571428571,0.3611111111111111
IBS-S-01,2,5,allies,adaptive,cover_withdrawal,20,IBS-U-USN-BUCHANAN:TT1:3:starboard:Y:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:3:starboard:Y:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:3:starboard:Y:0:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,2,6,axis,adaptive,cover_withdrawal,371,IBS-U-IJN-HATSUYUKI:TT2:3:port:Y:1:IBS-U-USN-SAN-FRANCISCO:1,IBS-U-IJN-KINUGASA:TT-P:2:port:B:2:IBS-U-USN-LAFFEY:1,IBS-U-IJN-HATSUYUKI:TT2:3:port:Y:1:IBS-U-USN-SAN-FRANCISCO:1,False,True,False,0.9993915922704724,0.8571428571428571,0.5833333333333334
IBS-S-01,2,6,allies,adaptive,cover_withdrawal,31,IBS-U-USN-BUCHANAN:TT1:5:port:X:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:5:port:X:0:IBS-U-IJN-KINUGASA:1,IBS-U-USN-BUCHANAN:TT1:5:port:X:0:IBS-U-IJN-KINUGASA:1,False,False,True,1.0,0.0,0.0
IBS-S-01,2,7,axis,adaptive,cover_withdrawal,2,IBS-U-IJN-FURUTAKA:TT-S:5:starboard:X:2:IBS-U-USN-SALT-LAKE-CITY:1,IBS-U-IJN-FURUTAKA:TT-S:5:starboard:X:2:IBS-U-USN-SALT-LAKE-CITY:1,IBS-U-IJN-FURUTAKA:TT-S:5:starboard:X:2:IBS-U-USN-SALT-LAKE-CITY:1,False,False,True,1.0,0.0,0.08333333333333333
IBS-S-01,3,2,allies,adaptive,crossfire,1128,IBS-U-USN-MCCALLA:TT1:3:starboard:Y:1:IBS-U-IJN-KINUGASA:2,IBS-U-USN-MCCALLA:TT2:3:starboard:Y:1:IBS-U-IJN-KINUGASA:1,IBS-U-USN-MCCALLA:TT2:3:starboard:Y:1:IBS-U-IJN-KINUGASA:1,True,True,False,0.9247980180462523,0.8571428571428571,1.1388888888888888
